symbol,price,rsi,vol_ratio,atr_pct,trend,p1,er1,median1,p3,er3,median3,p5,er5,median5,analogs,quality,score,stop,target1,target2,rr1,rr2,valid_return,valid_probability,valid_rr,valid_quality,valid_trend,not_extreme,trade,watch,action
NAUKRI,1313.0,53.9165935586024,1.1795164393400945,0.027070560117681993,0.08587634913518527,0.5017788720769816,0.001591425110778983,0.0014699919208802092,0.7312252686883968,0.00994070273473888,0.011984409158143583,0.5965977528344625,0.009969241455788216,0.01027961922288756,22,0.821315023608293,0.4138210602297161,1259.6845318482253,1328.7355292246425,1328.756,0.29514003665592364,0.2955239923083303,True,True,False,True,True,True,False,False,REJECT
APOLLOHOSP,8898.5,54.87360636484007,0.9616390027559886,0.016975949072467255,0.010836914304078071,0.4946803518983874,0.0037588838791425654,0.00047914701885554134,0.6746164046322134,0.010234454486783241,0.00819536752609995,0.6892890452335186,0.01099742042232285,0.01505143231703776,22,0.8591735865286645,0.3636536880877961,8671.909275767975,8989.57129325064,9032.435170473162,0.40191977654559324,0.5910884963499857,True,True,False,True,True,True,False,False,REJECT
HAVELLS,1244.0999755859375,45.87409261861347,1.1957304978856866,0.02297559719306815,0.010771464691707644,0.595149358240845,0.0054549030480087034,0.002101071761902773,0.727334260297337,0.011032907429864071,0.010336567119263451,0.6843560897176755,0.007478632039284803,0.005489900422263716,22,0.8540230420100096,0.36267636156285926,1201.224065725485,1257.8260154500733,1259.0291752929688,0.3201340778262133,0.34819551947984595,True,True,False,True,True,True,False,False,REJECT
INDUSINDBK,1016.5999755859375,53.18389123245567,1.4198416115854822,0.01923141799796961,0.016490481990830252,0.4507742087276748,-0.0022482042053218803,-0.0025248112107580933,0.5466098994338171,0.009627043932693938,0.002817249033642888,0.5983880512134069,0.023802000344870414,0.017171787551632067,22,0.8226004699346671,0.36229585246976515,987.2739869851091,1026.386828212879,1040.7970885554294,0.33372626444603554,0.825108176193192,True,True,False,True,True,True,False,False,REJECT
M&M,3282.0,42.21376811194559,1.9456442725680347,0.019733446847655222,0.005302296213909541,0.5406579144130171,0.002656675399301137,0.003436418220391313,0.7311212988819519,0.011803110790967776,0.012431256748489439,0.5009991717121786,0.014082151509578604,0.0011758865823268128,22,0.7957356040138811,0.34363395374982053,3184.8522411689933,3322.7993846485424,3328.217621254437,0.4199724742957263,0.4757456251238347,True,False,False,True,True,True,False,False,REJECT
PIDILITIND,1687.699951171875,59.34270400529902,1.8057888158799709,0.01932176993144977,0.0434530462876479,0.40320378889769093,-0.0015895479873605394,-0.0022062675800192943,0.5550075566704894,0.005132195646921234,0.005334409481470126,0.694355586506487,0.009189715610647634,0.00915300936605734,22,0.834694479090386,0.3135691979367703,1638.785925917082,1697.8261508789062,1707.9523505859374,0.2070203720565603,0.4140407441131206,True,True,False,True,True,True,False,False,REJECT
SAIL,195.0,67.24632758406472,0.8701899330029474,0.033863691971335826,0.13658618980222026,0.4103979438394795,-0.003601796996102821,-2.5143846951847237e-05,0.5961174477755518,0.0033762267709197815,0.0073169294493219406,0.6398522718172247,0.008398431196225634,0.013221548745826817,22,0.8329902795974221,0.28837642576417055,185.25,196.42680124261776,197.5782020054362,0.14633858898643654,0.26443097491653295,True,True,False,True,True,True,False,False,REJECT
BAJFINANCE,1057.0,43.446618631947665,1.2770953052948748,0.021562932504819502,-4.798622791435392e-05,0.5989056130509556,0.0015246619343726175,0.001015706284996143,0.6448892067920811,0.0082772314215323,0.004605249601317696,0.5591229274434236,0.014155979975698615,0.01248559746923128,22,0.8427220617716837,0.28533206739045586,1022.8119705136087,1065.7490336125595,1071.9628708343134,0.25590926836079,0.4376640320925623,True,True,False,True,True,True,False,False,REJECT
AXISBANK,1300.0,64.39717089024916,1.2814100962856876,0.01698727288706676,0.01584144912713037,0.6804490302962538,0.005507924552602081,0.003563533517173978,0.5603142235468801,0.006414797953774499,0.0006165844083571015,0.5605671706295556,0.009873120414715969,0.0018634859434983886,22,0.8310681181923001,0.26337309812926757,1266.8748178702199,1308.339237339907,1315.6,0.2517491770229344,0.47094080687258283,True,True,False,True,True,True,False,False,REJECT
KOTAKBANK,419.3999938964844,68.47441549099317,1.5650925633844097,0.01782674224155376,0.06717516253104772,0.5916939622234141,-0.0005963145146411566,0.0005950913340632136,0.5043643187452509,0.006329535899226658,0.00038827011545178314,0.5067574167628397,0.006353392388358017,-0.0028025063584012355,22,0.8151122159158009,0.25887996301731664,408.1851905155316,422.05460121398755,424.4327938232422,0.23670564942866149,0.4487639912890078,True,False,False,True,True,True,False,False,REJECT
