symbol,price,rsi,vol_ratio,atr_pct,trend,p1,er1,median1,p3,er3,median3,p5,er5,median5,analogs,quality,score,stop,target1,target2,rr1,rr2,valid_return,valid_probability,valid_rr,valid_quality,valid_trend,not_extreme,trade,watch,action
BAJFINANCE,1079.9000244140625,50.31273131172022,0.7825039864343624,0.020741823972957475,0.02344825171895315,0.5866695634690755,0.004103067579625392,0.0018785240921873614,0.6226379139217028,0.010323546811566813,0.0048691293737154195,0.5880134406273864,0.020027383396771955,0.03333368342517429,22,0.8653197980052906,0.39345311190646204,1046.301380091879,1091.0484228679131,1115.897069958719,0.3318109607919487,1.0713838689285886,True,True,False,True,True,True,False,True,WATCH
SBIN,1047.5,49.388835758638606,0.5039600839215453,0.016264885462166364,0.004461829391136707,0.554974162917422,0.0016582744287925609,0.00015455456788893152,0.8214903701667277,0.012545348831186512,0.014820218048519407,0.9537946531335291,0.022483534761300147,0.018577968778587417,22,0.871633783742271,0.4759224449920307,1021.9437987175711,1063.0241784058242,1071.0515026624619,0.6074525018120658,0.9215572534504431,True,True,False,True,True,True,False,False,REJECT
TITAN,5169.2001953125,71.92795517034713,0.6380554058203087,0.015055432834662432,0.08591825208384685,0.724428409421415,0.004462578104464638,0.002605836775933068,0.6884554600580989,0.010317397882014898,0.009127897408041208,0.827954692885538,0.01224459973171287,0.016400229411939637,22,0.8808323370847827,0.47465190553709047,5052.463375788323,5222.532890459328,5253.976264391868,0.4568626707855648,0.7262153399837205,True,True,False,True,True,True,False,False,REJECT
APOLLOHOSP,8800.0,50.43457490392279,0.656255008389489,0.018152807042341755,0.0014638251099730049,0.5767856966270439,0.0069962258097385,0.0037961063689875285,0.71834725158001,0.011685494716195134,0.009988752331295148,0.9034282643708014,0.01908022254318637,0.014184057132315187,22,0.8617737952987001,0.4472371505317038,8560.38294704109,8902.832353502517,8967.905958380039,0.4291529014011828,0.7007262475965402,True,True,False,True,True,True,False,False,REJECT
NESTLEIND,1454.5999755859375,43.89451874085364,0.2564829876625097,0.020267870927886317,-0.004457582809637262,0.6440097207739139,0.0021364071456562404,0.004697827635491647,0.7731459890848311,0.014070682521518912,0.014821430799528024,0.8634270919908167,0.02371563041400242,0.02396939608619819,22,0.8422041396953619,0.41981423452887234,1410.377508750614,1476.1592284650797,1489.4658585477312,0.48751809706647325,0.7884201279776613,True,True,False,True,True,True,False,False,REJECT
BPCL,319.25,55.32217912712407,0.9762874115235672,0.020701407316436923,0.017698551231537296,0.5874459975934397,0.0022522184905184876,0.0027855540214752894,0.6460036377487599,0.009480666318421283,0.015941588406714446,0.7782390581854918,0.01676813072363781,0.017283242464903537,22,0.8651677666132264,0.4168728681686432,309.3366135713413,324.33935209884356,324.76767515692046,0.513381792939161,0.5565883259598707,True,True,False,True,True,True,False,False,REJECT
VEDL,287.95001220703125,59.62219843381215,1.397373379598893,0.028216227851116642,0.05663137492525672,0.598220308912693,0.006176374431825324,0.007866742185836606,0.677492382839996,0.010968730231655692,0.011188773726549361,0.6317519780701729,0.009861973993300698,0.008364813374005853,22,0.853132703205103,0.41007847028979305,275.7627174757831,291.1718197381728,291.4054123535156,0.2643578909174055,0.28352478730367714,True,True,False,True,True,True,False,False,REJECT
DRREDDY,1178.0,44.884227226971376,0.3949911467012816,0.018471673482532484,-0.03971115993800567,0.6750498773153963,0.008918901824563969,0.00350527753519303,0.7694087254655794,0.018624456777059876,0.01773215888415902,0.8205545103707558,0.02403340214154606,0.01983871340543475,22,0.8565799158550378,0.3498963598416496,1145.3605529563652,1199.9396100833767,1206.3113477227412,0.6721808140329762,0.8673966714231541,True,True,False,True,False,True,False,False,REJECT
SHRIRAMFIN,1086.9000244140625,47.532957126652,0.5615962568628187,0.024799504976171793,0.018054624737394498,0.5503983491955842,0.001437816118880876,0.004069483044881861,0.6404182421107758,0.01062801573008051,0.006398065037135914,0.5932796807726994,0.01819638298918737,0.004148823789833389,22,0.8455180073689054,0.3447833554255078,1046.4681505679757,1098.45161497056,1106.6776735292578,0.2857050504379625,0.4891598442971878,True,True,False,True,True,True,False,False,REJECT
INDUSINDBK,994.0,43.62796692354654,1.016160051586129,0.01837248406965604,-0.004174582233380519,0.6420336541411108,0.0069176022911007174,0.004416242478574639,0.5878765128288717,0.011721827749085669,0.0039974416534659385,0.6760652557341423,0.013397376998631088,0.007273945741602006,22,0.8285252086903793,0.30928129166588736,966.6066262521429,1005.651496782591,1007.3169927366393,0.4253399705285474,0.48613919772043696,True,True,False,True,True,True,False,False,REJECT
NAUKRI,1354.0,63.60555159472408,0.9522368103219391,0.02571361413948867,0.1259575393304515,0.5056609144842195,0.00039286137704744176,0.0018779425528651084,0.6024158254694447,0.005755308752232343,0.005940511960007333,0.6436459362840803,0.002384581986776931,0.008109305231589703,22,0.8418085857232819,0.28827315805190845,1301.7756496826985,1362.124,1370.248,0.1555596182746309,0.3111192365492618,False,True,False,True,True,True,False,False,REJECT
HINDUNILVR,2010.4000244140625,37.46700034245883,0.858789475786258,0.015460611302897496,-0.047433120699975184,0.5501906649235189,0.002648757065964954,0.003988823502103278,0.6858165868763353,0.008786010186284344,0.0028731391086219693,0.776350504279145,0.01452837748416358,0.007306373754434992,22,0.8619855616138555,0.26722917883080466,1963.7770044028603,2028.0634195070709,2039.6078748629216,0.3788556616187528,0.6264684364470858,True,True,False,True,False,True,False,False,REJECT
