symbol,price,rsi,vol_ratio,atr_pct,trend,p1,er1,median1,p3,er3,median3,p5,er5,median5,analogs,quality,score,stop,target1,target2,rr1,rr2,valid_return,valid_probability,valid_rr,valid_quality,valid_trend,not_extreme,trade,watch,action
ADANIPORTS,1730.5,52.0837350404521,0.36740450939574393,0.021808420764753134,-0.0007298896296066282,0.721489577461961,0.004992349724320036,0.00526495124318449,0.8625842599518796,0.015620758331574856,0.014740386986542342,0.7730262448805207,0.017609215845178855,0.013411219302651323,22,0.8585268972440798,0.3837480899153755,1673.890791799892,1757.5317222927902,1760.972748020082,0.47751458026467475,0.5383001986596213,True,True,False,True,True,True,False,False,REJECT
AUROPHARMA,1646.699951171875,50.242245121138296,0.5899202791223139,0.022296368795785525,0.021542498316644565,0.6390129407835312,0.003945062860304568,0.0027366479802761745,0.7637963409207156,0.01147725023086735,0.010108013750211642,0.7087215226192353,0.017941663637873716,0.014328437194947252,22,0.8695185605403124,0.3835223491438634,1591.6268070608799,1665.5995385666315,1676.2444878083038,0.3431724790701259,0.5364599590843107,True,True,False,True,True,True,False,False,REJECT
DRREDDY,1146.699951171875,41.595542809476825,0.7631832174539395,0.01741340696268934,-0.02746708024509159,0.6058074414704013,0.0010953180913231577,0.0021846558634032176,0.7720564216141582,0.01639392728292042,0.017501996052503577,0.6842207040443999,0.019442576842273525,0.020639008611668563,22,0.8664267107047953,0.3132159085029233,1116.7480218010971,1166.7694891906913,1170.3667013391112,0.6700582713845743,0.7901577849714837,True,True,False,True,False,True,False,False,REJECT
SUNPHARMA,1852.4000244140625,38.94003108124731,0.8425612863813173,0.015926496147713683,-0.0380101159104399,0.8225043425398635,0.0031608093191061253,0.005030003125270355,0.7356681841342985,0.008696898999193235,0.006206692895634802,0.9116566284360028,0.01219731083355985,0.013397665736682773,22,0.8467990560054129,0.2701644342479292,1808.1466616347795,1868.5101603324945,1877.217860751785,0.36404320274557483,0.5608124395315104,True,True,False,True,False,True,False,False,REJECT
HEROMOTOCO,5248.0,42.387236816755795,0.86284387801239,0.02234176973442647,-0.01986988975744941,0.7200677647609199,0.0049801509688240314,0.003199838182760706,0.678680051352522,0.016154452395352924,0.02004815351779199,0.6306298050692971,0.015173287359690243,0.019387359829139084,22,0.8665831672792935,0.2691058663747336,5072.125588650595,5353.212709661372,5385.331985919341,0.5982263642227574,0.7808525689760916,True,True,False,True,True,True,False,False,REJECT
EICHERMOT,7510.0,35.14949333865704,0.6705517156784188,0.0188004958417475,-0.03166936800446152,0.5850834866108007,0.002672801101221137,0.0030855440286310376,0.7678946512359944,0.007858816396875896,0.006131859234180026,0.7204251165567763,0.020631745725830253,0.010511239010677631,22,0.8294259044012685,0.2644710742629297,7298.2124143427145,7569.019711140537,7664.944410400985,0.2786740826067233,0.7316028931540695,True,True,False,True,False,True,False,False,REJECT
HAVELLS,1089.5,20.80917943447878,0.7655866253199468,0.024028773754135507,-0.10829308183015596,0.6342838887699066,0.00233067537608621,0.0045108570298992845,0.638473363092935,0.009528350384816454,0.004230176354628856,0.7382075258577918,0.020582788449706287,0.026412595562600782,22,0.7890663277397316,0.22548742414935072,1050.230976492304,1099.8811377442576,1118.2765228654534,0.2643594573270473,0.7328046458760004,True,True,False,True,False,True,False,False,REJECT
ULTRACEMCO,10714.0,28.651308992802996,0.8555118741414774,0.017928004916449206,-0.07165530475467585,0.5008987783115674,0.0035624848247876525,0.003533204809124668,0.6801958923895105,0.009655428393033866,0.004708342081452654,0.6790528364646427,0.011805745004674028,0.009308928628563473,22,0.8229064754477065,0.18935526435982583,10425.879032987745,10817.448259802964,10842.568,0.359044539089598,0.44622923952122734,True,True,False,True,False,True,False,False,REJECT
HINDUNILVR,1966.199951171875,42.22538756200491,0.7424091603884505,0.015235002615297782,-0.04479488226570949,0.4985429541314889,0.00177936080874537,-0.0003599673656920488,0.6358150863141627,0.007126063433411876,0.003563858831848399,0.733324200731395,0.014516611197017686,0.017454019557207823,22,0.8430925612333836,0.18422297735576057,1921.267359074422,1980.2112167466971,2000.5180435730097,0.31182856186960045,0.7637683649922355,True,True,False,True,False,True,False,False,REJECT
APOLLOHOSP,8677.5,44.251281686271646,0.7983924386682935,0.01671112493021778,-0.01690245237552035,0.40964499868073934,-0.0001693429827698134,-0.002904461510652101,0.6397412832375486,0.006406091409483391,0.008864896305343373,0.5561317085886092,0.01414175609560407,0.01606332221969431,22,0.8477081226895814,0.16929457068675607,8459.983820127052,8754.425137689615,8816.889478561397,0.3536524856888705,0.6408234947984814,True,True,False,True,True,True,False,False,REJECT
