selection,horizon,observations,win_rate,average_net_return,median_net_return,average_winner,average_loser,profit_factor,best,worst,symbol
TRADE,5,8,1.0,0.0934929470499869,0.07771050268805735,0.0934929470499869,,,0.26879909455735973,0.004191358449377791,IOC
TRADE,5,5,0.8,0.05441819080631609,0.049032914451747844,0.07351157426399868,-0.021955343024414264,13.39292657504901,0.17650213901563072,-0.021955343024414264,TRENT
TRADE,5,4,0.75,0.03558707355425042,0.03844540789188822,0.04950615520778571,-0.006170171406355451,24.07039543024346,0.0716276498395807,-0.006170171406355451,ABB
TRADE,5,1,1.0,0.034935364049109685,0.034935364049109685,0.034935364049109685,,,0.034935364049109685,0.034935364049109685,INFY
TRADE,5,36,0.75,0.030363469223916337,0.019107828046398878,0.04626276037381722,-0.017334404225786297,8.006521557573528,0.19680784073048319,-0.03879700995097857,HAL
TRADE,5,9,0.7777777777777778,0.024783846644424987,0.012230116224261955,0.039695547154222854,-0.02740710513986755,5.069284564376704,0.08465075800358846,-0.03295540545507447,TATASTEEL
TRADE,5,24,0.5833333333333334,0.019675474276631525,0.013712139975766369,0.05310804696124806,-0.027130127481831624,2.7405424392324913,0.11898734932574206,-0.0969820048942569,BEL
TRADE,5,4,1.0,0.016653755167968465,0.015805992009229608,0.016653755167968465,,,0.029616484592394077,0.005386552061020566,BOSCHLTD
TRADE,5,13,0.7692307692307693,0.016557410706490066,0.018612689010143235,0.027975427456358726,-0.021502645126405467,4.336742029008114,0.0725961215080928,-0.03176458734267351,CIPLA
TRADE,5,7,0.5714285714285714,0.015719718177649517,0.002778656030805182,0.035184833727021025,-0.010233769221512498,4.5841478951285675,0.06995948385311568,-0.014285074852028345,BHARTIARTL
TRADE,5,9,0.5555555555555556,0.015135232332818636,0.015120757297927945,0.04719900612401991,-0.02494448490618295,2.3652024837121792,0.09562267929722945,-0.04073330728436009,ADANIPORTS
TRADE,5,5,0.4,0.015094892813851101,-0.006797486101123518,0.058267597205767574,-0.013686910114093212,2.8381179155875986,0.10829875376802556,-0.025791751290397458,ADANIENT
TRADE,5,11,0.45454545454545453,0.01463532373828591,-0.0003730036595178676,0.05232476044578847,-0.016772540184632884,2.5997235098656852,0.09721629598753956,-0.0590932914437603,ONGC
TRADE,5,41,0.7804878048780488,0.01390400391129913,0.023537710674435885,0.027091579223780443,-0.03298515275530109,2.920271909379149,0.0653167359009652,-0.0829497770993064,NAUKRI
TRADE,5,24,0.7083333333333334,0.010501550584676467,0.014991267036885803,0.028319201336702706,-0.03276988695595868,2.0987317819774267,0.067006898572884,-0.13573534636693874,AUROPHARMA
TRADE,5,5,0.6,0.009330583819889781,0.012718994457701083,0.026436087403516922,-0.016327671555550927,2.4286458096833865,0.03922411422812622,-0.029864397039074286,DRREDDY
TRADE,5,1,1.0,0.009143701022553463,0.009143701022553463,0.009143701022553463,,,0.009143701022553463,0.009143701022553463,GRASIM
TRADE,5,11,0.5454545454545454,0.006897646419614555,0.004691380998687267,0.0370243039386123,-0.029254342603182736,1.5187203256962292,0.06724967200657783,-0.05167194258508756,M&M
TRADE,5,7,0.7142857142857143,0.006545521434744469,0.011546196736819336,0.017408208394660996,-0.020611195965046847,2.111499063928946,0.03228748875062393,-0.0371463420293231,HCLTECH
TRADE,5,11,0.7272727272727273,0.005384617667685407,0.007455470511161799,0.018771304741397155,-0.03031321452887925,1.6513198425735043,0.0432345975152546,-0.04644717254675512,DLF
TRADE,5,5,0.6,0.0052983548334755385,0.014119422307651286,0.014813222535807894,-0.008973946720022996,2.4760380796705803,0.015337561968948643,-0.010708534350355459,RELIANCE
TRADE,5,22,0.5909090909090909,0.004103654412666408,0.004121832558842242,0.027636266476405106,-0.02988789634606727,1.3356260044137318,0.09258641295447978,-0.07460557720286842,SHRIRAMFIN
TRADE,5,21,0.42857142857142855,0.0035715473137986065,-0.00650107338119188,0.04334197933412804,-0.026256276701448467,1.238046234438212,0.08178361553311886,-0.07344024592349363,COALINDIA
