filter,passed,failed,pass_rate
p3,383,502,0.4327683615819209
p5,427,458,0.4824858757062147
er3,435,450,0.4915254237288136
er5,388,497,0.4384180790960452
rr1,0,885,0.0
rr2,0,885,0.0
quality,885,0,1.0
trend,664,221,0.7502824858757062
rsi,873,12,0.9864406779661017
regime,0,885,0.0
