filter_added,remaining_candidates,horizon,observations,win_rate,average_net_return,median_net_return,best,worst
p3,383,1,354,0.3474576271186441,-0.003163753021401965,-0.0038219830697135953,0.04707363145720894,-0.04278584494878129
p3,383,3,307,0.3550488599348534,-0.004610084004048059,-0.005171739766011872,0.07405796333607101,-0.04924837816214128
p3,383,5,259,0.3436293436293436,-0.006283234195851986,-0.007456813104988856,0.08042717584369458,-0.061047888866180344
p5,329,1,303,0.34983498349834985,-0.003261081399616637,-0.0035851370446272055,0.04663120244757707,-0.04278584494878129
p5,329,3,265,0.3660377358490566,-0.003988325484643035,-0.0042434842249657306,0.07405796333607101,-0.04924837816214128
p5,329,5,224,0.35267857142857145,-0.005360952507931302,-0.006421126992650459,0.08042717584369458,-0.061047888866180344
er3,289,1,266,0.35714285714285715,-0.002894866119142419,-0.0035523350708155364,0.04663120244757707,-0.027273769761745836
er3,289,3,230,0.3695652173913043,-0.0034561040332379595,-0.004251052457310443,0.07405796333607101,-0.04924837816214128
er3,289,5,191,0.3612565445026178,-0.004603605350656068,-0.006404966278356792,0.08042717584369458,-0.05268951961777074
er5,266,1,244,0.36475409836065575,-0.0025371421626022004,-0.0029581017107027084,0.04663120244757707,-0.025793618989007838
er5,266,3,211,0.3744075829383886,-0.0029622123617719207,-0.0042434842249657306,0.07405796333607101,-0.04924837816214128
er5,266,5,175,0.36,-0.004160076509571269,-0.006398530440867743,0.08042717584369458,-0.05268951961777074
