signal_date,regime,nifty,sma50,vix,symbol,data_error,strict_action,price,rsi,vol_ratio,atr_pct,trend,p1,er1,median1,p3,er3,median3,p5,er5,median5,analogs,quality,score,stop,target1,target2,rr1,rr2,STRICT_V6_3_2_trade,STRICT_V6_3_2_failed,STRICT_V6_3_2_p3,STRICT_V6_3_2_p5,STRICT_V6_3_2_er3,STRICT_V6_3_2_er5,STRICT_V6_3_2_rr1,STRICT_V6_3_2_rr2,STRICT_V6_3_2_quality,STRICT_V6_3_2_trend,STRICT_V6_3_2_rsi,STRICT_V6_3_2_regime,BALANCED_trade,BALANCED_failed,BALANCED_p3,BALANCED_p5,BALANCED_er3,BALANCED_er5,BALANCED_rr1,BALANCED_rr2,BALANCED_quality,BALANCED_trend,BALANCED_rsi,BALANCED_regime,MODERATE_trade,MODERATE_failed,MODERATE_p3,MODERATE_p5,MODERATE_er3,MODERATE_er5,MODERATE_rr1,MODERATE_rr2,MODERATE_quality,MODERATE_trend,MODERATE_rsi,MODERATE_regime
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,POWERGRID,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,TATASTEEL,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,JSWSTEEL,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,COALINDIA,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,ADANIPORTS,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,BAJAJFINSV,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,WIPRO,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,NESTLEIND,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,TECHM,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,ASIANPAINT,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,BEL,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,TRENT,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,GRASIM,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,HINDALCO,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,EICHERMOT,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,SHRIRAMFIN,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,VEDL,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,CIPLA,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,DRREDDY,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,DIVISLAB,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,APOLLOHOSP,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,BRITANNIA,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,HEROMOTOCO,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,BAJAJ-AUTO,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,INDUSINDBK,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,SBILIFE,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,HDFCLIFE,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,TATAELXSI,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,AUROPHARMA,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,BOSCHLTD,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,DLF,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,NAUKRI,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,SAIL,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,ABB,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,GODREJCP,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,PIDILITIND,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-10,FAVORABLE,24583.80078125,24004.47796875,12.25,SIEMENS,Insufficient clean feature history,DATA_ERROR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
