signal_date,symbol,regime,nifty,sma50,vix,price,rsi,trend,atr_pct,vol_ratio,ret3,ret5,p3,p5,er3,er5,median3,median5,quality,analogues,nearest_distance,stop,target1,target2,rr1,rr2,STRICT_V6_3_2_STYLE_trade,STRICT_V6_3_2_STYLE_failed,STRICT_V6_3_2_STYLE_p3,STRICT_V6_3_2_STYLE_p5,STRICT_V6_3_2_STYLE_er3,STRICT_V6_3_2_STYLE_er5,STRICT_V6_3_2_STYLE_rr1,STRICT_V6_3_2_STYLE_rr2,STRICT_V6_3_2_STYLE_quality,STRICT_V6_3_2_STYLE_trend,STRICT_V6_3_2_STYLE_rsi,STRICT_V6_3_2_STYLE_regime,BALANCED_trade,BALANCED_failed,BALANCED_p3,BALANCED_p5,BALANCED_er3,BALANCED_er5,BALANCED_rr1,BALANCED_rr2,BALANCED_quality,BALANCED_trend,BALANCED_rsi,BALANCED_regime,MODERATE_trade,MODERATE_failed,MODERATE_p3,MODERATE_p5,MODERATE_er3,MODERATE_er5,MODERATE_rr1,MODERATE_rr2,MODERATE_quality,MODERATE_trend,MODERATE_rsi,MODERATE_regime,classification,entry_date_1d,exit_date_1d,entry_1d,exit_1d,gross_return_1d,net_return_1d,entry_date_3d,exit_date_3d,entry_3d,exit_3d,gross_return_3d,net_return_3d,entry_date_5d,exit_date_5d,entry_5d,exit_5d,gross_return_5d,net_return_5d
2026-08-10,ADANIENT,UNFAVORABLE,24583.80078125,,12.25,3010.0,44.75924499320916,-0.013321834252521425,0.020813944218675842,0.7581444245824752,-0.013114754098360604,-0.01890482398956972,0.23255150642388173,0.09477653617085244,-0.019214059942582497,-0.028364948057621856,-0.01359959431186808,-0.022279577810890017,0.5282627087156577,30,0.27595765093830993,2916.025041852679,3010.0,3010.0,0.0,0.0,False,"p3,p5,er3,er5,rr1,rr2,regime",False,False,False,False,False,False,True,True,True,False,False,"p3,p5,er3,er5,rr1,rr2,regime",False,False,False,False,False,False,True,True,True,False,False,"p3,p5,er3,er5,rr1,rr2,regime",False,False,False,False,False,False,True,True,True,False,REJECT,2026-08-11,2026-08-11,3062.0,2995.5,-0.02171783148269102,-0.02321783148269102,2026-08-11,2026-08-13,3062.0,2964.89990234375,-0.03171133169701179,-0.03321133169701179,2026-08-11,2026-08-17,3062.0,3007.300048828125,-0.017864125137777576,-0.019364125137777577
2026-08-10,ADANIPORTS,UNFAVORABLE,24583.80078125,,12.25,1681.0,33.28026154903033,-0.06266442083433754,0.022461119044188727,1.0019653969200237,-0.011176470588235343,-0.011757789535567276,0.4885802676902718,0.6557085437222263,0.0013154773302022436,0.003158332538289243,0.0030827817955375036,0.007041534523397841,0.4,30,0.16803358263722482,1624.3642883300781,1683.21131739207,1686.3091569968644,0.039044576767353914,0.09374221388453076,False,"p3,er3,er5,rr1,rr2,trend,regime",False,True,False,False,False,False,True,False,True,False,False,"p3,rr1,rr2,trend,regime",False,True,True,True,False,False,True,False,True,False,False,"p3,rr1,rr2,trend,regime",False,True,True,True,False,False,True,False,True,False,REJECT,2026-08-11,2026-08-11,1700.0,1668.199951171875,-0.018705911075367676,-0.020205911075367677,2026-08-11,2026-08-13,1700.0,1658.0,-0.024705882352941133,-0.026205882352941134,2026-08-11,2026-08-17,1700.0,1691.0,-0.0052941176470587825,-0.006794117647058782
2026-08-10,APOLLOHOSP,UNFAVORABLE,24583.80078125,,12.25,8901.6376953125,53.66247514766794,0.02457158220191502,0.015544852715318877,1.5868433336370724,0.0002245087389971534,0.010430899379216374,0.7178416609947249,0.7185584892276682,0.010546034394673505,0.003976372693982856,0.011108854281030367,0.011647930438470344,0.4,30,0.40403408671102725,8694.075724964356,8995.514672616187,8937.033924375868,0.45228409205321823,0.17053330628919103,False,"er5,rr1,rr2,regime",True,True,True,False,False,False,True,True,True,False,False,"rr1,rr2,regime",True,True,True,True,False,False,True,True,True,False,False,"rr1,rr2,regime",True,True,True,True,False,False,True,True,True,False,REJECT,2026-08-11,2026-08-11,8971.556014433105,8740.3251953125,-0.025773769761745835,-0.027273769761745836,2026-08-11,2026-08-13,8971.556014433105,8590.0,-0.0425295248471137,-0.0440295248471137,2026-08-11,2026-08-17,8971.556014433105,8825.5,-0.016279897734365778,-0.01777989773436578
2026-08-10,ASIANPAINT,UNFAVORABLE,24583.80078125,,12.25,2750.0,55.67901630883225,0.019742508281143767,0.022667524857954546,0.9541562293507547,-0.0036231884057971175,-0.02135231316725983,0.2756431865741693,0.5242614430252238,-0.0054076112894588845,-0.000901367503191774,-0.004744369354340194,-0.002594485473690067,0.4,30,0.30047497782637855,2656.4964599609375,2750.0,2750.0,0.0,0.0,False,"p3,p5,er3,er5,rr1,rr2,regime",False,False,False,False,False,False,True,True,True,False,False,"p3,er3,er5,rr1,rr2,regime",False,True,False,False,False,False,True,True,True,False,False,"p3,er3,er5,rr1,rr2,regime",False,True,False,False,False,False,True,True,True,False,REJECT,2026-08-11,2026-08-11,2742.10009765625,2735.5,-0.002406949936616609,-0.003906949936616609,2026-08-11,2026-08-13,2742.10009765625,2755.5,0.004886729829886027,0.0033867298298860273,2026-08-11,2026-08-17,2742.10009765625,2687.5,-0.019911781376222626,-0.021411781376222627
2026-08-10,AXISBANK,UNFAVORABLE,24583.80078125,,12.25,1247.300048828125,43.24429319628279,-0.041497657150450284,0.016280890138065236,0.45197597507846976,-0.0052635580647839575,-0.01941820060681998,0.5635620157159449,0.7080294953771162,0.006171452093085213,0.0073834338014969495,0.008064501567506932,0.009075341031871798,0.4,30,0.4385127780586292,1216.839316231864,1254.9977013251705,1256.5094061692512,0.25270739870486103,0.3023353857962228,False,"rr1,rr2,trend,regime",True,True,True,True,False,False,True,False,True,False,False,"rr1,rr2,trend,regime",True,True,True,True,False,False,True,False,True,False,False,"rr1,rr2,trend,regime",True,True,True,True,False,False,True,False,True,False,REJECT,2026-08-11,2026-08-11,1242.0,1229.800048828125,-0.009822827030495196,-0.011322827030495195,2026-08-11,2026-08-13,1242.0,1221.800048828125,-0.016264050863023405,-0.017764050863023406,2026-08-11,2026-08-17,1242.0,1227.300048828125,-0.011835709478160261,-0.01333570947816026
2026-08-10,BAJAJ-AUTO,UNFAVORABLE,24583.80078125,,12.25,11677.0,67.34649940867999,0.1138009446848125,0.023599505743892142,0.4237596877779717,-0.010423728813559352,-0.015097840755735503,0.413242632174764,0.32074085479288167,-0.0020129258742805287,0.00018472601192748224,-0.004999879306140875,-0.009294337633106609,0.4,30,0.529970470526618,11263.642857142857,11677.0,11679.157045641277,0.0,0.005218358212870758,False,"p3,p5,er3,er5,rr1,rr2,regime",False,False,False,False,False,False,True,True,True,False,False,"p3,p5,er3,er5,rr1,rr2,regime",False,False,False,False,False,False,True,True,True,False,False,"p3,p5,er3,er5,rr1,rr2,regime",False,False,False,False,False,False,True,True,True,False,REJECT,2026-08-11,2026-08-11,11734.0,11717.0,-0.0014487813192431975,-0.0029487813192431976,2026-08-11,2026-08-13,11734.0,11661.0,-0.006221237429691495,-0.007721237429691495,2026-08-11,2026-08-17,11734.0,11663.0,-0.00605079256860408,-0.007550792568604079
2026-08-10,BAJFINANCE,UNFAVORABLE,24583.80078125,,12.25,1102.199951171875,57.29695971070866,0.09817478133212898,0.031022376963533358,0.6933145429227856,-0.048843713558252566,-0.044059018931591476,0.6860551778882866,0.714785710036285,0.005160720769836312,0.01655639429379451,0.00528931535050392,0.012659653707149277,0.4002903282685919,30,0.6666200215526552,1050.910657610212,1107.8880973524003,1120.4484081540777,0.1109031882782068,0.3557946642463171,False,"rr1,rr2,regime",True,True,True,True,False,False,True,True,True,False,False,"rr1,rr2,regime",True,True,True,True,False,False,True,True,True,False,False,"rr1,rr2,regime",True,True,True,True,False,False,True,True,True,False,REJECT,2026-08-11,2026-08-11,1098.0,1093.300048828125,-0.004280465548155754,-0.005780465548155754,2026-08-11,2026-08-13,1098.0,1090.800048828125,-0.006557332579121167,-0.008057332579121166,2026-08-11,2026-08-17,1098.0,1089.300048828125,-0.007923452797700348,-0.009423452797700347
2026-08-10,BAJAJFINSV,UNFAVORABLE,24583.80078125,,12.25,2021.300048828125,60.827908558131554,0.0953560715230446,0.02463406989405435,0.5982558067740658,-0.031016275729566112,-0.035639289681238084,0.38966888756095536,0.44772667565224905,-0.00403391222778708,-0.00028757815265170923,-0.006144857262885828,-0.004541005197338188,0.4,30,0.5320963716641677,1946.6107788085938,2021.300048828125,2021.300048828125,0.0,0.0,False,"p3,p5,er3,er5,rr1,rr2,regime",False,False,False,False,False,False,True,True,True,False,False,"p3,p5,er3,er5,rr1,rr2,regime",False,False,False,False,False,False,True,True,True,False,False,"p3,p5,er3,er5,rr1,rr2,regime",False,False,False,False,False,False,True,True,True,False,REJECT,2026-08-11,2026-08-11,2014.0,2032.0,0.008937437934458892,0.007437437934458892,2026-08-11,2026-08-13,2014.0,2025.0,0.005461767626613767,0.0039617676266137675,2026-08-11,2026-08-17,2014.0,2005.0,-0.004468718967229446,-0.0059687189672294454
2026-08-10,BEL,UNFAVORABLE,24583.80078125,,12.25,403.80181884765625,52.18066894907036,-0.009482612902524945,0.017373564164365227,0.6348011156776476,0.03679484602766214,0.031110574281806747,0.35046634618264816,0.3364560910536134,-0.003122801382422158,-0.00897904250809739,-0.01328921822578677,-0.010290387494425624,0.4,30,0.28540230352575746,393.27860363350055,403.80181884765625,403.80181884765625,0.0,0.0,False,"p3,p5,er3,er5,rr1,rr2,regime",False,False,False,False,False,False,True,True,True,False,False,"p3,p5,er3,er5,rr1,rr2,regime",False,False,False,False,False,False,True,True,True,False,False,"p3,p5,er3,er5,rr1,rr2,regime",False,False,False,False,False,False,True,True,True,False,REJECT,2026-08-11,2026-08-11,404.7006119983069,405.2998046875,0.0014805826120065646,-1.941738799343543e-05,2026-08-11,2026-08-13,404.7006119983069,410.5,0.014330069759611153,0.012830069759611153,2026-08-11,2026-08-17,404.7006119983069,412.45001220703125,0.019148476624386124,0.017648476624386122
2026-08-10,BHARTIARTL,UNFAVORABLE,24583.80078125,,12.25,1943.0,55.67336907046872,0.03610789392471325,0.01704309506813279,0.6344589538499465,-0.01769464105156726,-0.013955848769347856,0.6081111897113411,0.6992401052118854,0.009788670263851936,0.014950573603581688,0.0031695962024159696,0.005874632580340378,0.4,30,0.24213172893208257,1893.327899423927,1962.019386322664,1972.0489645117593,0.3828987721897493,0.5848144969683879,False,"rr1,rr2,regime",True,True,True,True,False,False,True,True,True,False,False,"rr1,rr2,regime",True,True,True,True,False,False,True,True,True,False,False,"rr1,rr2,regime",True,True,True,True,False,False,True,True,True,False,REJECT,2026-08-11,2026-08-11,1934.800048828125,1915.199951171875,-0.010130296238167524,-0.011630296238167524,2026-08-11,2026-08-13,1934.800048828125,1939.0999755859375,0.0022224140217574906,0.0007224140217574906,2026-08-11,2026-08-17,1934.800048828125,1969.300048828125,0.01783129994280075,0.016331299942800748
