selection,horizon,observations,win_rate,average_net_return,median_net_return,average_winner,average_loser,profit_factor,best,worst,regime
ALL,3,23101,0.523310679191377,0.0022180316579852545,0.0014592882936437235,0.02120656811922599,-0.01862762919199107,1.2497898192861339,0.26916408408398707,-0.32206976146246313,FAVORABLE
ALL,5,23101,0.537985368598762,0.0038452296952456574,0.002695995557907338,0.027814965685477724,-0.024065936695329075,1.3458308947171187,0.28480801762591423,-0.36737557399826437,FAVORABLE
ALL,3,6571,0.507685283822858,0.0016326554930785652,0.0004171227990628079,0.02280368013840264,-0.02019935013808097,1.1641777648014036,0.2547329707892392,-0.16945447067609798,MIXED
ALL,5,6571,0.5031197686805661,0.00193627651113512,0.00038276925026359265,0.03004572388804872,-0.026526153206499294,1.1469066262030396,0.2594186828747582,-0.15424831551493,MIXED
ALL,3,11655,0.5288717288717288,0.0030045973383798076,0.0020976144938091856,0.025159891379821483,-0.02186614250344254,1.2916587016986965,0.18502387257283215,-0.2275187972264755,UNFAVORABLE
ALL,5,11653,0.55376297949026,0.005032489252145748,0.004478796280641184,0.03266541684870725,-0.029258911090279522,1.3854420563356638,0.2501304952307686,-0.2391463572051602,UNFAVORABLE
