symbol,price,rsi,vol_ratio,atr_pct,trend,p1,er1,median1,p3,er3,median3,p5,er5,median5,analogs,quality,score,stop,target1,target2,rr1,rr2,valid_return,valid_probability,valid_rr,valid_quality,valid_trend,not_extreme,trade,watch,action
DIVISLAB,9211.0,70.67457354921594,0.9379023529479665,0.020954873356076126,0.17123636504695838,0.509753502556964,0.0026021962489603755,-0.0010216739423296595,0.6485535879785206,0.013946057312650717,0.008826620200578783,0.6474355666194781,0.022956436481914057,0.016088986007773753,22,0.815570960812247,0.4408134613424897,8921.476992275775,9339.457133906824,9422.45173643491,0.4436854083430277,0.7303451912060865,True,True,False,True,True,True,False,False,REJECT
HINDALCO,1004.5999755859375,44.788260396175204,0.27357671854418575,0.02354002764187501,0.010325980815898417,0.6865542535309583,0.0015401071208557496,0.0058898284704844706,0.7222966874556661,0.013448112218519576,0.023716840574432685,0.7787574399560387,0.022578954820441588,0.02661315457417357,22,0.8336084147155784,0.3856639148736287,969.1275087944576,1028.425913047988,1031.3355500214172,0.6716741071915864,0.753699329472665,True,True,False,True,True,True,False,False,REJECT
BOSCHLTD,46920.0,53.79221652418895,0.34731098346602607,0.024592421298133126,0.07448998004404883,0.5951373025762023,1.9376721592848e-05,0.0016042540800241811,0.6893538336167402,0.007939429213615252,0.008197608410500101,0.7335836223449643,0.011334280014239986,0.014455439861608466,22,0.80786703447064,0.3428861803153582,45189.18538903739,47304.63178662067,47598.249238306664,0.22222587224795234,0.3918670630642807,True,True,False,True,True,True,False,False,REJECT
NAUKRI,1336.800048828125,56.57732285926922,0.14918981089051356,0.027570431276258314,0.08676635182577241,0.6830488004990393,0.003948713067167674,0.005260476023176475,0.7272257814398231,0.005662824081126136,0.010672442434596419,0.6281315647761371,0.005999025883121149,0.008252486116781532,22,0.8239176622354505,0.265802466872582,1281.5158180136532,1351.066970395809,1352.8416494140624,0.2580649374604182,0.2901659361015873,True,True,False,True,True,True,False,False,REJECT
NESTLEIND,1412.4000244140625,37.85989862125758,0.29664030276431075,0.023932301637300507,-0.036235219658600104,0.6821439959228836,0.003519539667989855,0.004467458147361714,0.7323585329390108,0.012563939152790924,0.008571809639370764,0.7765797529124668,0.018700817471560147,0.016597814298775937,22,0.7725271838937569,0.25520313894023783,1361.6970492888506,1430.1453323802014,1438.813059467457,0.3499855367918057,0.5209365917516078,True,True,False,True,False,True,False,False,REJECT
TCS,2333.300048828125,51.29543581945176,0.6107850104624359,0.0259860371102204,0.030528255395458226,0.45300207063891795,-0.004081898882998856,-0.003607853649415682,0.5879249209240125,0.0035223843731925454,0.0043844150090732725,0.5908189393116461,0.013399873953708322,0.0018681356905465574,22,0.8156603590105205,0.24138948099638627,2242.350216340935,2347.2998491210938,2364.565975378603,0.1539288188896946,0.34377112849418073,True,True,False,True,True,True,False,False,REJECT
INDUSINDBK,1001.0,48.64211108581462,1.3525868683103681,0.02125024902779499,-0.003542848397431797,0.4532471171393063,9.170285325143954e-05,-7.64292027228275e-05,0.5031615618740015,0.00833782013013744,0.0011163099259867137,0.5931093453854603,0.019906221762957164,0.011423962878087335,22,0.8407954515981355,0.22291389822941124,969.0927510847658,1009.3461579502675,1020.9261279847201,0.2615756053566448,0.6245015995473786,True,False,False,True,True,True,False,False,REJECT
EICHERMOT,7660.5,36.51368411014366,0.712408678851365,0.019925559707634297,-0.005685546484843207,0.5401436624753866,0.0006368501319736128,0.0025102773379866994,0.6831495569681885,0.004971367727866788,0.004954177159547268,0.6869598755206549,0.011233830370059147,0.008843024851352022,22,0.8113936268142816,0.21131388876931698,7431.540374789502,7706.463,7752.426,0.20074718395325278,0.40149436790650955,True,True,False,True,True,True,False,False,REJECT
JSWSTEEL,1301.699951171875,51.60438435764879,0.6570488828651543,0.019028792365694595,0.025078971983734766,0.6845800859479899,0.0031575119580835487,0.004325308200613165,0.5499747078530652,0.0034670546897466355,0.004377991250842372,0.5969311192988092,0.010650053553133927,0.003979618890832981,22,0.8697360817476075,0.20737570987962498,1264.5452840319483,1309.5101508789062,1317.3203505859376,0.21020776952778264,0.4204155390555714,True,True,False,True,True,True,False,False,REJECT
COALINDIA,418.70001220703125,60.44400556224139,1.3671116865392852,0.018092820871018992,0.005793791483106547,0.545506546066131,-0.0007046869897708521,0.0008800388837140183,0.530143488869684,0.002687044244405028,0.0001910053468135997,0.6938723602822046,0.011499725170998173,0.005484535160736881,22,0.8070976074503408,0.16692274445550798,407.3368157276983,421.21221228027343,423.7244123535156,0.22108216449581786,0.4421643289916357,True,False,False,True,True,True,False,False,REJECT
BAJAJ-AUTO,11986.0,59.226559944520496,1.0291084025130068,0.019637475165545835,0.07940361734394297,0.4085136421825289,0.0002555049108587192,-0.0014451177298440698,0.5465385007743,0.005236815588287563,0.0030509281281182465,0.40964508547113504,0.0009955936644641793,-0.007083074113736154,22,0.8419105544664431,0.15394117032833585,11632.93783399865,12057.916,12129.832,0.20369217357524622,0.4073843471504976,False,False,False,True,True,True,False,False,REJECT
DRREDDY,1158.300048828125,41.16174313587436,0.13914391167980067,0.01784713753361094,-0.046481856281129996,0.5455310536952016,0.0028870957599097915,0.0007528473170076433,0.5930306559244987,0.009171169417970712,0.005826915889760587,0.728833403803346,0.012910240458925625,0.011363338553287972,22,0.8334438440209115,0.1439512560729181,1127.2915384131893,1168.9230148127715,1173.2539809820814,0.3425822731404019,0.4822525156433716,True,True,False,True,False,True,False,False,REJECT
HCLTECH,1314.9000244140625,51.26658021465177,0.5778789668624363,0.02510632928825576,0.04430788496647131,0.5922688597009839,-0.0007887186652808408,0.002032249103294581,0.6445732363219424,0.001370040004138415,0.008846004163662324,0.5955799955616362,0.005004156468345702,0.007053910097610583,22,0.8503035661134525,0.14135382198670476,1265.38155492295,1326.5316355048292,1330.6788247070313,0.23489439819730934,0.3186447492243419,False,True,False,True,True,True,False,False,REJECT
SAIL,196.67999267578125,67.16742353850162,0.4604038044496383,0.03502267318165006,0.13646997065537447,0.6245023220817227,0.004921972723322889,0.006842133933678385,0.4985437941555946,0.004408813801940468,0.004224754543727283,0.5435412558509168,0.0034409684633012606,0.020797171687162552,22,0.8480236454894805,0.13885663225989245,186.8459930419922,197.86007263183595,200.77038025088936,0.12000000000000104,0.4159434337432525,False,False,False,True,True,True,False,False,REJECT
ABB,7445.5,48.90113896702699,0.5727344666433676,0.02436439383674171,0.01795704168176493,0.40562133693059893,-0.005029170404432459,-0.004061316434354534,0.6382703590065064,0.0013037354964707936,0.008730416150134035,0.5925015057711468,0.010261261975378135,0.009621591363079607,22,0.8684783929094511,0.13498669998333987,7173.392358532809,7510.502313445823,7534.8460000000005,0.23888455721174956,0.32834800051277996,False,True,False,True,True,True,False,False,REJECT
PIDILITIND,1632.699951171875,47.529331016825004,0.5123082662854539,0.019407957799175025,0.006903228047428156,0.585938628651291,0.0013121723867033754,0.0027686160849939023,0.6733463010418268,0.004454430592974618,0.004735308956928863,0.4989462736299142,0.0015175818448690107,0.0007841307725744429,22,0.8444937561663767,0.08934277494320025,1585.1688935452867,1642.4961508789063,1652.2923505859376,0.20610102522842683,0.41220205045685365,False,False,False,True,True,True,False,False,REJECT
BAJFINANCE,1049.0,41.31410706540034,1.013768379483752,0.021350494258385654,-0.012157533314940072,0.4568320223759005,-0.0001012396293239381,-0.002109043244671982,0.555158890954719,0.003191252163916135,0.0027165553893719885,0.5951976791884676,0.009330761334838008,0.012562841427461113,22,0.8491009054896703,0.08895661365658122,1015.4049972844301,1055.294,1062.1784206574066,0.18734929278880788,0.3922732428087871,True,True,False,True,True,True,False,False,REJECT
ULTRACEMCO,11313.0,38.01664169506587,0.8343810606640117,0.016435411914906946,-0.024053385586764287,0.5090175992210707,0.0024060509770170617,0.0006099504710713743,0.5491886843498588,0.0029201034594125526,0.0018992156746313604,0.7283986723366538,0.009500295690113132,0.007699263558193059,22,0.8560779203626687,0.08848638300950434,11034.099277509986,11380.878,11448.756,0.24337692421155674,0.4867538484231069,True,True,False,True,False,True,False,False,REJECT
BAJAJFINSV,1982.0999755859375,48.6917244009641,0.41266758945175036,0.019301420400175406,0.018977142346588982,0.5442998330978935,0.0019433574729281844,0.0008228348906336169,0.6853872976650986,0.0023063207412699865,0.005496588205432307,0.598726826297212,-0.0025310112708437638,0.0033451363301325587,22,0.8556297807731261,0.08272364088305989,1924.7139582299951,1993.992575439453,2005.8851752929688,0.20723863410402807,0.41447726820806013,False,True,False,True,True,True,False,False,REJECT
SUNPHARMA,1914.9000244140625,47.74867048720457,0.5195689511818727,0.018499699197927592,-0.0069739721134296495,0.774658888914222,0.0030102583962296923,0.0033748097262692456,0.5908871453286582,0.003685818625341339,0.006101917261595924,0.6821064902196531,0.002703482488765944,0.007739801335163721,22,0.828516488678238,0.06065973640658793,1861.762412745416,1926.5845859272652,1937.8788247070313,0.21989248568537093,0.4324394637128052,False,True,False,True,True,True,False,False,REJECT
TECHM,1601.4000244140625,50.52173373557158,0.5400561981705674,0.0227000000762747,0.02835919034089751,0.6779662549324821,0.0032548463873704582,0.0070313710654635875,0.5877436459485986,-0.0008228363987835942,0.003206190357788241,0.5434407737066219,0.006245396008166005,0.005358452412223991,22,0.859841117759192,0.05990376556139702,1546.8723533995442,1611.008424560547,1620.6168247070314,0.17621145315240283,0.35242290630480566,False,True,False,True,True,True,False,False,REJECT
ADANIPORTS,1703.4000244140625,50.70473556740372,1.2363298250942092,0.02267301285800051,-0.02481750018233142,0.4932212824298701,-0.0022041288704059705,-0.0009838031788141355,0.4555687002120487,0.005811250662357961,-0.007293091548370545,0.497544696197874,0.005139943697251058,0.0019799322255802387,22,0.8064133598166805,0.020576369674024757,1645.468208430275,1713.6204245605468,1723.8408247070313,0.17642119400062464,0.3528423880012532,True,False,False,True,False,True,False,False,REJECT
DLF,678.7999877929688,55.342165485258285,0.960726322185108,0.025651932955619055,0.03145749486971483,0.4628143057405746,-0.0008488633088479852,-0.0005730860005040417,0.4986600420944038,-0.0006706707492653541,-0.0003788611305844958,0.5491839188622422,-0.0035621573383934615,0.0025185508666465406,22,0.8648763801229596,0.010188924777905707,652.6811901272583,682.8727877197266,686.9455876464843,0.15593366811462203,0.3118673362292397,False,False,False,True,True,True,False,False,REJECT
