symbol,price,rsi,vol_ratio,atr_pct,trend,p1,er1,median1,p3,er3,median3,p5,er5,median5,analogs,quality,score,stop,target1,target2,rr1,rr2,valid_return,valid_probability,valid_rr,valid_quality,valid_trend,not_extreme,trade,watch,action
SAIL,187.8000030517578,54.76803731892427,1.2349978346339714,0.03735997479477918,0.08030250293340324,0.585745960578962,0.0011110802000260664,0.00624393467352613,0.59046594555318,0.01085497675290639,0.009143300147068989,0.7240883801280847,0.026737065681284842,0.040268100714986765,22,0.8234601918975989,0.4319029696690602,178.4100028991699,189.8385677190804,195.3623524889208,0.2170995350581285,0.805362014299733,True,True,False,True,True,True,False,False,REJECT
DIVISLAB,9300.0,69.17144309204387,1.1331423712958457,0.020713513387972417,0.1670530869486131,0.6358197249768703,0.005262749838219322,0.001180878230396143,0.5959853808538204,0.010993063825738478,0.005613552785342146,0.6418295035289334,0.02121325848546711,0.016189526700347345,22,0.8184361124692401,0.40218764156747494,9011.046488237786,9402.235493579368,9497.283303914845,0.3538129471272869,0.6827510166313286,True,True,False,True,True,True,False,False,REJECT
HINDALCO,1005.5999755859375,44.9260299878221,0.502486584460269,0.02238466901810474,0.008998800114665917,0.559214004959309,0.0009563663092830974,0.00011274464544708263,0.6814995684972954,0.010193468765408742,0.015226559408949791,0.8705186776484045,0.023674660252239795,0.023238056277068098,22,0.852262520876924,0.37442098053050593,971.8349416587794,1020.9118033558352,1029.407213357595,0.45348178245371173,0.7050855575331965,True,True,False,True,True,True,False,False,REJECT
NAUKRI,1292.0999755859375,47.77523684199661,0.48001176856544486,0.028530879176289502,0.03951689116114365,0.49994075919803077,0.0017161254559431586,-0.0015313760145849176,0.7735905827884657,0.008260418454735999,0.007795526000661024,0.589292262868139,0.010415181359696173,0.0047071993991517624,22,0.8349055885173567,0.3184214094595681,1236.802853155244,1302.7732620696313,1307.6051752929689,0.1930170326145117,0.2803979488528498,True,True,False,True,True,True,False,False,REJECT
EICHERMOT,7709.0,40.85815400790703,1.0747310146370685,0.018989279541879355,-0.0006892571740554354,0.6334735764070034,0.0021245768544124353,0.001340100431200919,0.6420138303911151,0.0071309737089862955,0.006612594653978232,0.7269014421576497,0.01428292846923977,0.007192350491622368,22,0.846264898720656,0.2715460325512579,7489.417466017479,7763.972676322574,7819.10709556937,0.25035086045117877,0.5014383137510143,True,True,False,True,True,True,False,False,REJECT
SHRIRAMFIN,1036.300048828125,38.318731468152315,0.48279313395439327,0.027873616613784385,-0.03423179512650998,0.686114887737848,0.008198276667218988,0.007561465685264834,0.6302052947520206,0.014217138622169383,0.003677696536591113,0.7269663104105182,0.02456337929044226,0.014007057005863133,22,0.8420630992728501,0.23862439186652365,992.9719034413032,1051.0332702764754,1061.755079986194,0.340038128030088,0.5874941318354032,True,True,False,True,False,True,False,False,REJECT
WIPRO,173.08999633789062,38.306293136582546,1.2861111184075777,0.022069596741810343,-0.02964874119419325,0.5715208403401807,0.004113273573196185,0.007050289180939973,0.6765227433388762,0.009128227534222193,0.008155136593872903,0.6765227433388762,0.016630335072773367,0.013032570840367907,22,0.8317785625341703,0.22811453159523362,167.35995670906263,174.67000120836056,175.96854097473488,0.27574065326195735,0.5023603366305203,True,True,False,True,False,True,False,False,REJECT
APOLLOHOSP,8824.5,52.19074504054616,0.7264851321367287,0.016923962889319518,0.0006339582593022364,0.4585071774515517,0.004864934627927302,-0.00010704768227604022,0.495609863227394,0.00631050862109369,-0.0009431579624601394,0.6845162971854277,0.013231672589470611,0.014320373314523183,22,0.8569916411562891,0.20559244322148754,8600.4817342248,8880.187083326842,8950.87013431401,0.24858278022169747,0.5641063860427377,True,False,False,True,True,True,False,False,REJECT
BRITANNIA,5010.5,28.402823322348866,1.0689122322883187,0.020355667793210346,-0.06341859088884283,0.6328838995258138,0.004322112093135506,0.004707333820898829,0.7748802271640928,0.009641472757554377,0.00425533390969135,0.6360616178240663,0.009793295069117604,0.006534866797099803,22,0.8144663073334462,0.19667089025068257,4857.51188978318,5058.808599251726,5070.626,0.3157670173405085,0.3930109334299739,True,True,False,True,False,True,False,False,REJECT
AUROPHARMA,1659.0,55.758285678770555,0.6520992677963245,0.023086455551058815,0.03658216585448604,0.5451714909526808,0.002337198474845458,0.0016298041000238905,0.5446491729150733,0.004135026214019513,0.0012640448738610033,0.5384947359222698,0.007061698292983956,0.00469042806365616,22,0.8628862736690618,0.1961211258371793,1601.5493553611902,1668.954,1678.9080000000001,0.1732617634245953,0.3465235268491945,True,True,False,True,True,True,False,False,REJECT
