symbol,date,price,p3,p5,er3,er5,rr1,rr2,rsi,volume,trend,regime,return1,return3,return5,stop,target1,target2,classification,failures
ABB,2023-06-28,4280.84130859375,0.5939393939393939,0.6648484848484848,0.00423430873573798,0.010607221454863376,1.2499999999999951,2.0,69.69470608815308,1.3597187023642834,True,FAVORABLE,0.0026979080918194676,-0.011425360746686208,-0.002482330943316513,4141.831750755501,4454.60325589156,4558.860424270248,WATCH,rsi
ADANIENT,2023-06-28,2397.6376953125,0.5187878787878788,0.5096969696969696,0.0013300832690005902,0.001518052728425789,1.2499999999999982,1.9999999999999967,54.48028343233676,4.441864623578466,True,FAVORABLE,-0.005807820278830755,-0.00595343072465937,0.0003745141396906959,2262.086082793162,2567.0772109616723,2668.7409203511756,WAIT,"p3,p5,er3,er5"
ADANIPORTS,2023-06-28,741.490234375,0.5563636363636364,0.5678787878787879,0.002164279396709365,0.004082642959656586,1.249999999999999,2.0,60.36068620072932,2.7925466591175465,True,FAVORABLE,-0.022802343254057056,-0.019563774388043464,-0.0217448530593215,715.986825053078,773.3694960274025,792.4970530188441,WATCH,"er3,er5"
APOLLOHOSP,2023-06-28,5078.62109375,0.5563636363636364,0.5872727272727273,0.002164775742947555,0.005273541590198381,1.25,2.0,64.39353121914952,0.6088113288585786,True,FAVORABLE,-0.0055980108097132275,-0.0033061193252659216,0.03045683229407592,4931.487540048354,5262.538035877057,5372.888201153291,WATCH,"er3,er5,volume"
ASIANPAINT,2023-06-28,3241.28564453125,0.5657575757575758,0.6648484848484848,0.00046396359740360094,0.004430240975947555,1.2499999999999984,2.0,70.92849038505949,0.8455878211448536,True,FAVORABLE,0.004121628410794331,-0.00016420230145341996,0.015276613841229691,3166.944359080329,3334.2122513449012,3389.968215433092,WATCH,"er3,er5,rsi"
AUROPHARMA,2023-06-28,732.738037109375,0.6409090909090909,0.6551515151515152,0.005806680101343163,0.008912147699937116,1.250000000000001,2.0,75.74905722905936,1.9184039022786883,True,FAVORABLE,-0.015431588697545573,-0.035329915919627974,0.030524406964327122,706.5369442673651,765.4894031618874,785.1402227933947,WATCH,rsi
AXISBANK,2023-06-28,974.8635864257812,0.5657575757575758,0.5775757575757576,0.0009660122772895546,0.002295595380988509,1.2499999999999976,1.999999999999995,62.116939036712395,0.9398532367559501,True,FAVORABLE,0.009456138225469202,-0.007667088337742545,0.0028113909416789262,952.4456741562656,1002.8859767626758,1019.6994109648125,WAIT,"er3,er5"
BAJAJFINSV,2023-06-28,1515.061279296875,0.6315151515151516,0.6842424242424242,0.0023409709148662352,0.005419622864893006,1.2499999999999956,1.999999999999994,64.30081770465847,1.0171726982330545,True,FAVORABLE,0.006554467504102268,0.07341664288473271,0.06709268959733894,1476.5967385755887,1563.1419551984827,1591.9903607394474,WATCH,"er3,er5"
BAJFINANCE,2023-06-28,693.9195556640625,0.6409090909090909,0.6842424242424242,0.0034238382139742266,0.006764621132605205,1.2499999999999964,2.0,55.960215360732946,1.0326563670960975,True,FAVORABLE,0.0142206411052761,0.11334662892954972,0.10000423953253268,677.4280635858142,714.5339207618728,726.902539820559,WATCH,er3
BEL,2023-06-28,117.40557098388672,0.6221212121212122,0.6939393939393939,0.004895290349657525,0.011070163348225729,1.249999999999998,2.0,57.34132865845831,3.1962269552740605,True,FAVORABLE,0.04140803607453658,0.010766098477033248,0.03354051506886635,111.82177405804255,124.38531714119192,128.57316483557506,TRADE,
BHARTIARTL,2023-06-28,845.6001586914062,0.5939393939393939,0.6454545454545455,0.0016899823467195737,0.0047240176927933,1.2500000000000047,2.0,70.53667488359854,1.3672692433479599,True,FAVORABLE,0.007509791355226447,-0.008082970263484035,-0.0029235661125889267,827.1207464252915,868.6994240240498,882.5589832236358,WATCH,"er3,er5,rsi"
BOSCHLTD,2023-06-28,17864.29296875,0.5563636363636364,0.5484848484848485,-0.00017611264417954214,0.0001428849504423067,1.2500000000000058,2.0000000000000075,45.982164092803224,1.3729373647783172,False,FAVORABLE,0.01714083982560366,0.017741833558956532,0.042379515352181096,17394.15996691424,18451.9592210447,18804.55897242152,WAIT,"er3,er5,trend"
BPCL,2023-06-28,153.87472534179688,0.546969696969697,0.5581818181818182,0.0014615570746778113,0.003109422340925254,1.2499999999999984,2.0,50.02533392356185,1.132571730600165,False,FAVORABLE,-0.0019156446028066876,0.030788151205622505,0.07635467052162292,149.46657096337853,159.3849183148198,162.69103409863357,WAIT,"er3,er5,trend"
CIPLA,2023-06-28,973.718505859375,0.5751515151515152,0.6454545454545455,0.0015613055985071976,0.005635430459493761,1.249999999999999,2.0,62.81138293595615,1.0327641937280896,True,FAVORABLE,0.005000562889274196,0.0019308731854343897,0.011238729991417395,947.8046247961942,1006.110857188351,1025.5462679857367,WATCH,"er3,er5"
COALINDIA,2023-06-28,183.16500854492188,0.5,0.5484848484848485,-0.0009899884844629323,0.001326969747521856,1.25,2.0,43.49621042808972,1.6761513200979594,False,FAVORABLE,0.01650163421860662,0.02002207282265389,0.03234339967120681,180.14680180734206,186.93776696689665,189.2014220200815,WAIT,"p3,er3,er5,rsi,trend"
DIVISLAB,2023-06-28,3520.296875,0.6033333333333333,0.6357575757575757,0.0035434332493598343,0.0068807181824248,1.2500000000000022,2.0,60.813979420782466,0.9225180163901832,True,FAVORABLE,-0.004984001815365402,-0.014285460654507975,0.03756709139854153,3413.6600080687813,3653.5929586640236,3733.5706088624374,WATCH,er3
DLF,2023-06-28,469.9742431640625,0.5563636363636364,0.6454545454545455,0.001472480354255153,0.0070414937722038,1.250000000000002,2.000000000000004,55.37571040944789,0.5540648814936205,True,FAVORABLE,0.009569927914828691,0.008026368113071447,0.057007622539986036,455.1083553967518,488.5566028732009,499.706018698684,WATCH,"er3,volume"
DRREDDY,2023-06-28,995.0151977539062,0.6503030303030303,0.6745454545454546,0.002516530572374883,0.004609393441599026,1.25,2.0,77.54156130657063,2.1459923906996363,True,FAVORABLE,0.01013155850308256,0.015769955323561513,0.024266716737221916,968.949760232249,1027.5969946559778,1047.1460727972208,WATCH,"er3,er5,rsi"
EICHERMOT,2023-06-28,3387.8623046875,0.5657575757575758,0.5969696969696969,0.0006030426043167874,0.0024417564910213466,1.25,2.0,47.96948142987024,1.3779942795196676,False,FAVORABLE,0.00994401832599201,-0.040354309430120305,-0.09101936745118644,3289.4221152240934,3510.912541516758,3584.742683614313,WAIT,"er3,er5,trend"
GRASIM,2023-06-28,1708.54345703125,0.5375757575757576,0.6066666666666667,0.000495371256532354,0.004455431761702714,1.2499999999999976,1.999999999999995,51.1557655576084,1.7233093186212083,True,FAVORABLE,-0.004847750719685684,0.015173986317041255,0.01431355003876722,1663.4588681833789,1764.8991930910888,1798.712634726992,WATCH,"er3,er5"
HAL,2023-06-28,1797.5479736328125,0.6033333333333333,0.6066666666666667,0.0067915588545594385,0.009630964603954144,1.249999999999999,1.9999999999999976,62.807192263604136,0.731445836588486,True,FAVORABLE,0.018968914699270645,5.385211367503473e-05,0.002458318430060835,1703.6051803450214,1914.9764652425513,1985.4335602083945,WATCH,volume
HCLTECH,2023-06-28,1030.727294921875,0.5845454545454545,0.5775757575757576,0.0013311334056709933,0.0020416303280502346,1.2499999999999964,2.0,64.76596270010702,0.8145602190134864,True,FAVORABLE,0.015124972198266251,0.017389377523029603,0.008887435605973604,1006.7859226271777,1060.6540102902466,1078.6100395112696,WAIT,"er3,er5"
HDFCBANK,2023-06-28,802.4856567382812,0.5375757575757576,0.5581818181818182,-0.0006082322757953148,0.0003347059781385565,1.2500000000000036,2.000000000000007,67.8280730506562,2.0940677555715634,False,FAVORABLE,0.015064202145965933,0.031053265058935242,-0.0006861158699946746,786.7299252927648,822.1803210451768,833.9971196293142,WAIT,"er3,er5,trend"
HEROMOTOCO,2023-06-28,2524.28955078125,0.5845454545454545,0.6260606060606061,0.003160903662558159,0.007051417960762649,1.25,2.000000000000005,52.81403010328662,1.0056107173882283,True,FAVORABLE,0.028758381699677704,0.07107381505277344,0.12137871403715272,2434.013615923139,2637.134469353889,2704.841420497473,WATCH,er3
HINDALCO,2023-06-28,409.9341125488281,0.5563636363636364,0.5775757575757576,0.0013154773360268702,0.00331655647515078,1.2499999999999976,1.9999999999999951,51.17177099670239,0.8600523570321261,False,FAVORABLE,0.0017848208118071973,0.013326860581709399,0.014754717231155068,398.13321760150086,424.6852312329872,433.5359024434826,WAIT,"er3,er5,trend"
HINDUNILVR,2023-06-28,2513.843505859375,0.5751515151515152,0.5484848484848485,0.0003905644529056526,0.0003127313802376462,1.249999999999998,2.0,54.4935826457331,1.1543322759596284,True,FAVORABLE,0.006350479371892259,0.0145608744857455,0.03601696581905878,2456.5212534593115,2585.496321359454,2628.488010659502,WAIT,"er3,er5"
ICICIBANK,2023-06-28,907.1539916992188,0.5657575757575758,0.5969696969696969,-0.00013102686276464468,0.001189161618059086,1.25,2.000000000000006,53.99695636731721,1.7024800981173653,True,FAVORABLE,-0.003040205516977923,0.007733799481134396,0.02341461517609278,889.315789734289,929.451744155381,942.8303956290785,WAIT,"er3,er5"
INFY,2023-06-28,1176.64794921875,0.5093939393939394,0.48060606060606065,-0.0008657102091692631,-0.0015728376042237497,1.25,2.0,52.819734328166625,1.0068097429123974,True,FAVORABLE,0.0325898683487047,0.04005093836561513,0.03908445809256045,1153.7461587780408,1205.2751872696365,1222.4515301001684,WAIT,"p3,p5,er3,er5"
IOC,2023-06-28,74.61750030517578,0.5845454545454545,0.5969696969696969,0.0013917898486791895,0.0028486020988388464,1.2500000000000018,2.0,55.169060447507476,1.2550569545105388,True,FAVORABLE,0.007170562351838106,0.04412569598063043,0.08769987316294592,72.66842498658146,77.05384445341869,78.51565094236443,WAIT,"er3,er5"
ITC,2023-06-28,385.7012939453125,0.6315151515151516,0.6745454545454546,0.0017321774511401128,0.004092015656571704,1.2499999999999964,2.0,61.80437684329608,1.5502888008539915,True,FAVORABLE,0.005007413760635959,0.03783249173567449,0.054634510304098605,377.8105663543023,395.5647034340752,401.4827491273329,WATCH,"er3,er5"
JSWSTEEL,2023-06-28,767.56298828125,0.546969696969697,0.5775757575757576,0.0008246785144781291,0.003073515264500521,1.249999999999999,1.9999999999999953,69.29575245340473,2.6372753025082516,True,FAVORABLE,0.001787010430867264,0.016913501474901782,0.015509291213757992,743.0351438773731,798.2227937860961,816.6186770890037,WAIT,"er3,er5,rsi"
KOTAKBANK,2023-06-28,366.3488464355469,0.5657575757575758,0.5581818181818182,0.0018633562735529963,0.0025980696281711,1.2499999999999964,1.999999999999993,42.90573251676444,1.122303322221337,False,FAVORABLE,0.0032599390279610674,0.01149117261591237,0.019966814163899338,358.4688776276181,376.1988074454578,382.10878405140437,WAIT,"er3,er5,rsi,trend"
LT,2023-06-28,2330.818359375,0.5939393939393939,0.6357575757575757,0.0006324872385701881,0.0025337679115567027,1.2500000000000069,2.000000000000009,68.87357009510598,0.9949297485679669,True,FAVORABLE,0.022341917362380226,0.016684242809702488,0.0277314457519362,2280.845450694312,2393.28449522586,2430.764176736376,WAIT,"er3,er5,rsi"
M&M,2023-06-28,1345.44580078125,0.6315151515151516,0.6648484848484848,0.0038553717395892594,0.007107342269545012,1.25,1.9999999999999931,62.097600357878356,1.2543661150809748,True,FAVORABLE,0.04200703472688727,0.049784828230942546,0.11025094421175607,1312.4141618236308,1386.735349478274,1411.5090786964881,WATCH,er3
