ticker,price,atr,atr_pct,rsi,volume_ratio,ext_atr,relative5,trend,p1,p3,p5,pred1,pred3,pred5,ensemble_probability,ensemble_return,score,tier,turnover_cr,date
RELIANCE,1287.0,19.142038198419336,1.4873378553550376,42.910031890688195,0.775968148422869,-0.9665971536417216,-1.8888296307668306,False,0.47600518806744485,0.4918394353771504,0.4814249363867684,-0.13810648490617625,-0.228435032181213,-0.4917660637491902,0.48606896116761383,-0.27620208061819995,-0.3197720072496515,REJECTED,879.0503436,2026-08-30 15:10 IST
TCS,2342.0,58.79195440886188,2.5103311020009347,53.63606508182149,1.7782334161392332,0.48263422181104804,2.0524372469845176,False,0.47600518806744485,0.4918394353771504,0.4814249363867684,-0.1662538741594968,-0.39628347645250606,-0.7446290446820926,0.48606896116761383,-0.43736394805130085,-0.4288316071721199,REJECTED,949.4629598,2026-08-30 15:10 IST
HDFCBANK,720.2999877929688,10.382971650402222,1.441478804159932,38.45158192501345,0.7762185818744363,-1.0578480271783113,-0.5999664914556613,False,0.47600518806744485,0.4918394353771504,0.4814249363867684,-0.030054518049988484,-0.15555927246124038,-0.46887800588597556,0.48606896116761383,-0.2087880049351738,-0.3124784932230098,REJECTED,1188.0844808953552,2026-08-30 15:10 IST
ICICIBANK,1422.800048828125,20.81673700989294,1.463082393554768,51.40389774622012,1.0117700725485574,0.017934248840726683,0.5120043228384441,False,0.47600518806744485,0.4918394353771504,0.4814249363867684,-0.1613997624604562,-0.28196023119466807,-0.49620182068148927,0.48606896116761383,-0.311408534819531,-0.30369990347157005,REJECTED,1227.2700447578613,2026-08-30 15:10 IST
INFY,1144.0,27.073419676498233,2.366557664029566,53.02036927178107,1.1367011590384366,0.3668045452007931,2.366557303933803,False,0.42115027829313545,0.42083333333333334,0.41798941798941797,-0.21902787314246977,-0.5320939194232324,-0.888781438275729,0.4201857434893149,-0.558652589880204,-0.3668035045091228,REJECTED,1100.7532536,2026-08-30 15:10 IST
BHARTIARTL,1882.4000244140625,33.0349074045457,1.7549355597160345,41.29998891156734,1.1174432631692983,-1.298431928427221,-2.9534235085948435,False,0.47600518806744485,0.4918394353771504,0.4814249363867684,-0.13118802529790544,-0.2489808863484008,-0.3893588754594429,0.48606896116761383,-0.26051681141606226,-0.3737285723105538,REJECTED,1149.449926907959,2026-08-30 15:10 IST
SBIN,1047.5,17.037467521619266,1.6264885462166363,49.388835758638606,0.5761039615384415,-0.1826393645392572,0.20039505009343817,False,0.47600518806744485,0.4918394353771504,0.45555555555555555,-0.1349138500528004,-0.3721645043763237,-0.7345002508805984,0.4796016159598106,-0.41529831013768775,-0.33434697939859803,REJECTED,520.531242,2026-08-30 15:10 IST
ITC,266.0,4.190491010279908,1.5753725602556046,32.82303428339905,1.255289532500897,-1.9070158820656475,-0.9472438229334412,False,0.47600518806744485,0.4918394353771504,0.4814249363867684,-0.14744383182735885,-0.2548631084980194,-0.47095513408110967,0.48606896116761383,-0.28740225955965987,-0.2870668879742386,REJECTED,404.3425302,2026-08-30 15:10 IST
HINDUNILVR,2010.4000244140625,31.082013340801456,1.5460611302897496,37.46700034245882,0.8977711376832472,-1.2889296105292538,0.08653115607148987,False,0.47600518806744485,0.4918394353771504,0.4814249363867684,-0.13922393888289014,-0.30515024027459264,-0.576056010910846,0.48606896116761383,-0.3396914226553155,-0.32801709413644076,REJECTED,187.61294275834962,2026-08-30 15:10 IST
LT,4045.800048828125,54.80256418526392,1.3545544397612435,52.390500521441545,0.6692166523371895,0.12620695228894854,-0.8383693917752733,True,0.47600518806744485,0.4918394353771504,0.45555555555555555,-0.1624107624269493,-0.3281311815344528,-0.6246278122024359,0.4796016159598106,-0.3691112553799479,-0.16585234167065552,REJECTED,361.6767228450195,2026-08-30 15:10 IST
