ticker,price,atr,atr_pct,rsi,volume_ratio,extension_atr,relative5,trend,p1,p3,p5,pred1,pred3,pred5,ensemble_probability,ensemble_return,score,turnover_cr,entry_low,entry_high,stop,target1,target2,risk_pct,rr1,rr2,action,holding_period,shares,position_value,max_loss,status,reason,date
RELIANCE,1287.0,19.142038198419336,1.4873378553550376,42.910031890688195,0.775968148422869,-0.9665971536417216,-1.8888296307668306,False,0.47178239031760905,0.4854017291973131,0.4717848071445634,-0.14051035764855274,-0.2347003825977772,-0.48821125517074193,0.4792736309081849,-0.2792400957511735,-0.31589230449146233,879.0503436,1254.825,1303.0874999999999,1263.0724522519758,1322.8913216220362,1334.855095496048,1.8591723191937959,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,19,24453.0,454.6234072124589,REJECTED,Negative expected return.,2026-08-30 15:19 IST
TCS,2342.0,58.7919474553527,2.510330805096187,53.6360650818216,1.7782334161392332,0.48263427889372074,2.0524372469845176,False,0.4618776294559064,0.4630401314922464,0.45259324703712633,-0.1682285233427474,-0.3984185109287452,-0.7375889755965755,0.46019590997119836,-0.4371731295785033,-0.40621485886371567,949.4629598,2283.45,2371.275,2268.510065680809,2452.2349014787865,2488.979868638382,3.137913506370238,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,10,23420.0,734.8993431919098,REJECTED,Negative expected return.,2026-08-30 15:19 IST
HDFCBANK,720.2999877929688,10.382971650402228,1.4414788041599327,38.45158192501346,0.7762185818744363,-1.0578480271783106,-0.5999664914556613,False,0.49260653323874765,0.4955504982393654,0.4683780205807973,-0.03189071498101526,-0.16390461095714964,-0.47099799577680673,0.4881685858245999,-0.21427517796683704,-0.31322540407592014,1188.0844808953552,702.2924880981445,729.3037376403809,707.321273229966,739.7680596374729,746.2574169189743,1.8018485051999138,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,34,24490.199584960938,441.2762951420941,REJECTED,Negative expected return.,2026-08-30 15:19 IST
ICICIBANK,1422.800048828125,20.81673700989294,1.463082393554768,51.40389774622012,1.0117700725485574,0.017934248840726683,0.5120043228384441,False,0.47438091468104543,0.4766037956018879,0.47345904868692523,-0.16385688537569007,-0.28730660845669015,-0.4911422413027512,0.4753730326889788,-0.3135755720520054,-0.2969315615292657,1227.2700447578613,1387.2300476074217,1440.5850494384765,1396.779127565759,1461.831430721674,1474.8418913528571,1.828852991943453,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,17,24187.600830078125,442.35566146022325,REJECTED,Negative expected return.,2026-08-30 15:19 IST
INFY,1144.0,27.073403407168797,2.3665562418853847,53.020369271781206,1.1367011590384366,0.36680476562612696,2.366557303933803,False,0.4391952530658398,0.4330389189427777,0.42415387856305203,-0.2189043869518506,-0.53095216015456,-0.8877510790433227,0.43204892567245873,-0.5577423352362089,-0.38018172054389676,1100.7532536,1115.3999999999999,1158.3,1110.158245741039,1194.7626313884414,1211.6835085179218,2.9581953023567236,1.4999999999999998,2.0,BUY ON CONFIRMATION,1-3 sessions,21,24024.0,710.6768394381793,REJECTED,Negative expected return.,2026-08-30 15:19 IST
BHARTIARTL,1882.4000244140625,33.034907404545685,1.7549355597160337,41.29998891156732,1.1174432631692983,-1.2984319284272214,-2.9534235085948435,False,0.46980097867188897,0.47863535975284144,0.47759804973324665,-0.1324121260928571,-0.2550135768798023,-0.39136336873406796,0.47660915603175225,-0.26458073468597965,-0.3686095785791186,1149.449926907959,1835.340023803711,1905.9300247192382,1841.1063901583805,1944.3404757975857,1964.9872929254266,2.1936694496450384,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,13,24471.200317382812,536.8172453238665,REJECTED,Negative expected return.,2026-08-30 15:19 IST
SBIN,1047.5,17.03742823958934,1.6264847961421802,49.38883575863859,0.5761039615384415,-0.1826397856383153,0.20039505009343817,False,0.4672578698052883,0.4636008175262045,0.443226642556385,-0.1370153227186709,-0.3752674965323506,-0.7281450976512683,0.4592386842395665,-0.4158364620493441,-0.3173889755579776,520.531242,1021.3125,1060.59375,1026.2032147005134,1079.44517794923,1090.0935705989732,2.0331059951777184,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,23,24092.5,489.8260618881918,REJECTED,Negative expected return.,2026-08-30 15:19 IST
ITC,266.0,4.1904844127292815,1.5753700799734143,32.82303428339905,1.255289532500897,-1.9070188844951017,-0.9472438229334412,False,0.48574759913059157,0.48774658508728735,0.48054527411900405,-0.14927894018066812,-0.26298400166261104,-0.4727378262844097,0.48554646015387737,-0.29268144552167213,-0.2866134501245464,404.3425302,259.34999999999997,269.325,260.7618944840884,273.85715827386747,276.47621103182325,1.9692125999667769,1.4999999999999998,2.0,BUY ON CONFIRMATION,1-3 sessions,93,24738.0,487.14381297978133,REJECTED,Negative expected return.,2026-08-30 15:19 IST
HINDUNILVR,2010.4000244140625,30.94561617960579,1.5392765521192722,37.46700034246297,0.8977711376832472,-1.2946107492998267,0.08653115607148987,False,0.4716140966731786,0.47190275233058593,0.4579329071716978,-0.1401273038534804,-0.3111292364981549,-0.5795994355442834,0.46835255990938246,-0.34404639973075213,-0.31434831165468136,187.61294275834962,1960.1400238037108,2035.530024719238,1971.7180041895554,2068.423054750823,2087.764064863077,1.9240956901490858,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,12,24124.80029296875,464.1842426940857,REJECTED,Negative expected return.,2026-08-30 15:19 IST
LT,4045.800048828125,54.80256418526392,1.3545544397612435,52.390500521441545,0.6692166523371895,0.12620695228894854,-0.8383693917752733,True,0.4591770089499431,0.462435930124688,0.4476590463220404,-0.16479683281997343,-0.33390563140184026,-0.6205114010705951,0.45808992493907713,-0.3717353141026556,-0.14975197811857263,361.6767228450195,3944.6550476074217,4096.372549438476,3977.296843596545,4148.554856675495,4182.806459291285,1.6931930497015584,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,6,24274.80029296875,411.0192313894804,REJECTED,Negative expected return.,2026-08-30 15:19 IST
BAJFINANCE,1079.9000244140625,22.399096214788962,2.0741823972957474,50.3127313117202,0.9381633153754138,-0.2256348920389786,-1.0641754185486518,False,0.47478376145285267,0.4692514848191382,0.46635263706801167,-0.057825205320870675,-0.22182395800273935,-0.40904312315440766,0.4696332282080995,-0.2358289987542827,-0.43051374868498204,491.82005600892336,1052.902523803711,1093.3987747192382,1051.9011541455764,1121.8983298167918,1135.8977649510348,2.592727996619679,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,23,24837.700561523438,643.9740161751813,REJECTED,Negative expected return.,2026-08-30 15:19 IST
HCLTECH,1316.0999755859375,31.277362375803577,2.3765187262372423,52.975571180954795,2.159136214698081,0.13123365456742653,1.3589617845668922,False,0.44562149229558223,0.4631408326308631,0.47027881950391465,-0.2311020110765962,-0.38826551770531,-0.5948039528049487,0.46142146128206984,-0.4084674251544769,-0.3966083568034402,455.3016279140137,1283.197476196289,1332.5512252807616,1277.003272616183,1374.7450300405692,1394.2933815254464,2.970648407796552,1.4999999999999998,2.0,BUY ON CONFIRMATION,1-3 sessions,18,23689.799560546875,703.7406534555803,REJECTED,Negative expected return.,2026-08-30 15:19 IST
KOTAKBANK,423.70001220703125,7.61703879428777,1.7977433502092701,74.162259856254,1.8461167871409272,3.1179212356081143,5.503503249262964,True,0.43435691315891933,0.4073900453679446,0.40491758742412687,-0.23821501173040796,-0.6171664195291487,-0.9132954452309917,0.4121653044401852,-0.6154083943948614,-0.19144025210859983,803.0351587958862,413.10751190185545,428.9962623596191,414.1787137141715,437.9819599463209,442.7426091927507,2.247179187761591,1.5,2.0,WAIT FOR PULLBACK,1-3 sessions,59,24998.300720214844,561.756611078724,REJECTED,Negative expected return.,2026-08-30 15:19 IST
MARUTI,13376.0,218.30793069959992,1.6320868024790665,38.02224572291476,0.9670347668215034,-1.3661102737405895,-1.0784737735130556,False,0.46782299751127293,0.4918161240797801,0.4930622299735047,-0.18684744471619893,-0.20645747541219103,-0.34613553273477166,0.4873290252395098,-0.23745498360363776,-0.3503997882878247,371.1960384,13041.6,13543.199999999999,13103.1150866255,13785.327370061752,13921.769826749001,2.0401085030988386,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,1,13376.0,272.8849133745007,REJECTED,Negative expected return.,2026-08-30 15:19 IST
M&M,3334.0,63.36249351969709,1.9004947066495828,47.27658358937785,0.9963674691826163,-0.6869333233994793,-1.9769573825999198,False,0.463559306886644,0.47836274300526593,0.4743286002468457,-0.13706598523846983,-0.2425552308439647,-0.4464201388336803,0.47439352009193647,-0.27242360872029464,-0.39614732200355984,581.4742716,3250.65,3375.6749999999997,3254.7968831003786,3452.8046753494323,3492.406233799243,2.3756183833119784,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,7,23338.0,554.4218182973495,REJECTED,Negative expected return.,2026-08-30 15:19 IST
AXISBANK,1265.0,20.028313767582645,1.5832659104808415,54.949749076810875,0.7096375431713061,0.8636001583018964,1.8559921651094102,False,0.4718468864214035,0.4541038521867256,0.42267337377271896,-0.08169882178634692,-0.33522073180912,-0.7443524146599741,0.4497948394301595,-0.3867992705172789,-0.2706946998247458,410.2988285,1233.375,1280.8125,1239.9646077905218,1302.5530883142173,1315.0707844189565,1.9790823881010462,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,19,24035.0,475.6724519800864,REJECTED,Negative expected return.,2026-08-30 15:19 IST
TITAN,5169.2001953125,77.82454634945127,1.5055432834662432,71.92795517034712,0.9843189328177586,1.8338542837422782,1.9486845216658333,True,0.4427553674379624,0.4276190337264331,0.40763204103486633,-0.12597301876154005,-0.4463516047832696,-0.8517092323776198,0.42564955229584733,-0.4836152944775113,-0.28022093893797484,283.1708543792969,5039.970190429687,5233.815197753906,5071.919512375686,5315.12121971772,5363.761561186128,1.8819291043327968,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,4,20676.80078125,389.1227317472549,REJECTED,Negative expected return.,2026-08-30 15:19 IST
NTPC,330.04998779296875,6.003599117695297,1.8189969216000061,33.47800721946207,0.9769997359798681,-1.461552704012922,-2.611656392892059,False,0.47777658192439687,0.5005356288461028,0.4968726426148022,-0.16458018779490416,-0.16986274094257328,-0.3080013872040038,0.49506807290393656,-0.2033408918783971,-0.3917936594112157,242.00882349920656,321.7987380981445,334.17561264038085,322.54548889584964,341.3067361386474,345.05898558720696,2.273746152000003,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,75,24753.749084472656,562.837417283933,REJECTED,Negative expected return.,2026-08-30 15:19 IST
ADANIENT,3168.5,63.50256642567018,2.0041838859293097,66.52445842042113,0.6023742256757055,1.7793901707185478,6.037206841368947,True,0.44538515373850424,0.41509523448626684,0.408838613425979,-0.15948411245663446,-0.5066652839366993,-0.8114633260654182,0.4195890630716424,-0.5134285601728661,-0.22826623404730637,168.18239575,3089.2875,3208.10625,3089.1217919679125,3287.5673120481315,3327.256416064175,2.5052298574116305,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,7,22179.5,555.6474562246126,REJECTED,Negative expected return.,2026-08-30 15:19 IST
BAJAJFINSV,2002.0,35.11407755313406,1.753949927728974,53.64777151684849,0.5157950868816812,0.03412681954257946,-1.185797220503515,True,0.4716142034789713,0.47099000661764,0.4646579194093218,-0.10873972740311406,-0.2787599575736393,-0.5097763879894853,0.4695318241878268,-0.30251001914349573,-0.24235612864937903,93.4339406,1951.95,2027.0249999999999,1958.1074030585823,2067.8388954121265,2089.7851938828353,2.1924374096612214,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,12,24024.0,526.7111632970118,REJECTED,Negative expected return.,2026-08-30 15:19 IST
ONGC,232.25,3.742086194928028,1.6112319461476978,32.630943887867204,0.6612147641775764,-1.3291269954072653,-1.4406788317948171,False,0.4730299222080311,0.49759264071828474,0.48172624923171986,-0.17336122984155145,-0.19553453888051497,-0.47196212180599695,0.48871349914459283,-0.26020677280409277,-0.34637274130186735,177.41470665,226.44375,235.153125,227.57239225633995,239.26641161549009,241.6052154873201,2.0140399326846277,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,107,24850.75,500.5040285716251,REJECTED,Negative expected return.,2026-08-30 15:19 IST
POWERGRID,266.04998779296875,4.879671781140861,1.8341184006886928,39.05900212926975,0.6772459430737097,-0.9648116590758947,-2.0163151973918825,False,0.47488222871302815,0.49383991477110617,0.48939954412774767,-0.14728773909117102,-0.14974275013064187,-0.28092478490685535,0.48893828489865093,-0.18204725661680107,-0.3927961703623841,136.01834891414185,259.3987380981445,269.37561264038084,259.9503980665427,275.19937238260786,278.2491672458209,2.2926480008608654,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,93,24742.648864746094,567.261844557625,REJECTED,Negative expected return.,2026-08-30 15:19 IST
ADANIPORTS,1707.5,30.030583772370953,1.7587457553365125,48.60797161105892,1.9651352747252087,0.10478152925699459,0.7559942562347821,False,0.46815685711182287,0.46647624776552415,0.45471489866470005,-0.16457833360704377,-0.2812265912025625,-0.4996620354790934,0.46387203235957786,-0.3125058007525915,-0.2940488670285393,558.071787,1664.8125,1728.84375,1669.9617702845362,1763.8073445731955,1782.5764594309273,2.198432194170646,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,14,23905.0,525.535216016493,REJECTED,Negative expected return.,2026-08-30 15:19 IST
COALINDIA,401.0,6.2067160137684425,1.5478094797427537,35.627915246884044,7.341075113340262,-1.0736845827068018,-0.7217103684753479,False,0.4842657623575386,0.4978838232254279,0.4707909774086555,-0.13262818982755636,-0.12367076848898173,-0.4262244898779204,0.48838699959765697,-0.2011006831039313,-0.284891131320956,1544.0217884,390.97499999999997,406.0125,393.24160498278945,412.6375925258158,416.51679003442115,1.9347618496784407,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,62,24862.0,481.02049106705385,REJECTED,Negative expected return.,2026-08-30 15:19 IST
WIPRO,180.9499969482422,3.4220217186290927,1.8911421809020015,50.60390903458558,1.9337696678390737,0.08634129873573475,0.4033202847069539,False,0.4504431055003245,0.4572978027587103,0.44572043428412156,-0.1914708590693806,-0.3815567360072171,-0.673209828882471,0.453032521188386,-0.4164528338384633,-0.31104255118757196,265.7480330731064,176.42624702453614,183.2118719100952,176.67246979995582,187.36628767067174,189.50505124481492,2.363927726127503,1.5,2.0,BUY ON CONFIRMATION,1-3 sessions,138,24971.099578857422,590.2987464635187,REJECTED,Negative expected return.,2026-08-30 15:19 IST
